"date","geo_value","cases","deaths"
2020-07-25,"nh",227,13
2020-07-25,"nj",2358,77
2020-07-25,"nm",2052,38
2020-07-25,"nv",7339,86
2020-07-25,"ny",4937,115
2020-07-25,"oh",9363,174
2020-07-25,"ok",5024,45
2020-07-25,"or",2343,28
2020-07-25,"pa",6514,105
2020-07-25,"ri",431,9
2020-07-25,"sc",12396,330
2020-07-25,"sd",437,6
2020-07-25,"tn",15302,126
2020-07-25,"tx",57886,1168
2020-07-25,"ut",4291,31
2020-07-25,"va",7236,50
2020-07-25,"vt",58,0
2020-07-25,"wa",5713,74
2020-07-25,"wi",6385,54
2020-07-25,"wv",881,3
2020-07-25,"wy",338,1
2020-08-01,"ak",955,4
2020-08-01,"al",12111,147
2020-08-01,"ar",5192,59
2020-08-01,"az",16961,461
2020-08-01,"ca",57986,888
2020-08-01,"co",2752,19
2020-08-01,"ct",1034,19
2020-08-01,"de",702,6
2020-08-01,"fl",65517,1245
2020-08-01,"ga",24824,331
2020-08-01,"hi",577,0
2020-08-01,"ia",3407,48
2020-08-01,"id",3284,51
2020-08-01,"il",10632,111
2020-08-01,"in",5602,74
2020-08-01,"ks",2582,29
2020-08-01,"ky",3959,44
2020-08-01,"la",12546,234
2020-08-01,"ma",2094,116
2020-08-01,"md",6311,73
2020-08-01,"me",147,4
2020-08-01,"mi",5682,56
2020-08-01,"mn",4897,35
2020-08-01,"mo",10564,76
2020-08-01,"ms",8900,215
2020-08-01,"mt",822,15
2020-08-01,"nc",12953,168
2020-08-01,"nd",778,4
2020-08-01,"ne",1996,16
2020-08-01,"nh",199,7
2020-08-01,"nj",3477,54
2020-08-01,"nm",2008,44
2020-08-01,"nv",7258,100
2020-08-01,"ny",4582,71
2020-08-01,"oh",8903,172
2020-08-01,"ok",7650,53
2020-08-01,"or",2325,40
2020-08-01,"pa",6274,92
2020-08-01,"ri",798,6
2020-08-01,"sc",10591,286
2020-08-01,"sd",548,12
2020-08-01,"tn",15300,103
2020-08-01,"tx",54179,1940
2020-08-01,"ut",3079,36
2020-08-01,"va",7192,140
2020-08-01,"vt",25,1
2020-08-01,"wa",5547,97
2020-08-01,"wi",6132,48
2020-08-01,"wv",963,13
2020-08-01,"wy",323,1
2020-08-08,"ak",550,2
2020-08-08,"al",9555,152
2020-08-08,"ar",5638,77
2020-08-08,"az",9105,390
2020-08-08,"ca",46413,928
2020-08-08,"co",2385,17
2020-08-08,"ct",510,9
2020-08-08,"de",625,6
2020-08-08,"fl",46549,1087
2020-08-08,"ga",23415,361
2020-08-08,"hi",1149,5
2020-08-08,"ia",3242,53
2020-08-08,"id",3387,38
2020-08-08,"il",12244,140
2020-08-08,"in",6165,75
2020-08-08,"ks",2855,22
2020-08-08,"ky",3855,32
2020-08-08,"la",12466,258
2020-08-08,"ma",2062,95
2020-08-08,"md",5216,71
2020-08-08,"me",91,2
2020-08-08,"mi",4619,63
2020-08-08,"mn",4913,43
2020-08-08,"mo",6366,58
2020-08-08,"ms",6765,181
2020-08-08,"mt",808,14
2020-08-08,"nc",11147,205
2020-08-08,"nd",938,9
2020-08-08,"ne",1854,13
2020-08-08,"nh",204,3
2020-08-08,"nj",2675,39
2020-08-08,"nm",1319,30
2020-08-08,"nv",6345,117
2020-08-08,"ny",4278,69
2020-08-08,"oh",7882,151
2020-08-08,"ok",5349,54
2020-08-08,"or",2193,30
2020-08-08,"pa",5193,94
2020-08-08,"ri",716,10
2020-08-08,"sc",8861,256
2020-08-08,"sd",602,11
2020-08-08,"tn",12527,148
2020-08-08,"tx",69418,1488
2020-08-08,"ut",3049,25
2020-08-08,"va",8388,107
2020-08-08,"vt",33,1
2020-08-08,"wa",4973,92
2020-08-08,"wi",5931,62
2020-08-08,"wv",825,15
2020-08-08,"wy",246,2
2020-08-15,"ak",583,2
2020-08-15,"al",7072,141
2020-08-15,"ar",3181,65
2020-08-15,"az",6547,355
2020-08-15,"ca",65502,916
2020-08-15,"co",2020,17
2020-08-15,"ct",577,12
2020-08-15,"de",894,2
2020-08-15,"fl",43060,1236
2020-08-15,"ga",21741,483
2020-08-15,"hi",1479,9
2020-08-15,"ia",3530,48
2020-08-15,"id",2978,34
2020-08-15,"il",11853,97
2020-08-15,"in",6389,94
2020-08-15,"ks",3440,26
2020-08-15,"ky",4352,38
2020-08-15,"la",7991,223
2020-08-15,"ma",2008,105
2020-08-15,"md",5112,59
2020-08-15,"me",116,2
2020-08-15,"mi",5263,66
2020-08-15,"mn",4312,16
2020-08-15,"mo",9124,51
2020-08-15,"ms",5109,206
2020-08-15,"mt",770,7
2020-08-15,"nc",9793,159
2020-08-15,"nd",988,9
2020-08-15,"ne",1996,16
2020-08-15,"nh",162,4
2020-08-15,"nj",3299,41
2020-08-15,"nm",1187,30
2020-08-15,"nv",5189,120
2020-08-15,"ny",4125,56
2020-08-15,"oh",7705,166
2020-08-15,"ok",4718,54
2020-08-15,"or",2008,31
2020-08-15,"pa",5824,141
2020-08-15,"ri",597,8
2020-08-15,"sc",6422,253
2020-08-15,"sd",637,6
2020-08-15,"tn",11290,130
2020-08-15,"tx",77337,1222
2020-08-15,"ut",2570,28
2020-08-15,"va",6561,59
2020-08-15,"vt",55,0
2020-08-15,"wa",4392,80
2020-08-15,"wi",5123,51
2020-08-15,"wv",899,29
2020-08-15,"wy",212,2
2020-08-22,"ak",547,3
2020-08-22,"al",7883,115
2020-08-22,"ar",4207,74
2020-08-22,"az",5241,264
2020-08-22,"ca",41872,867
2020-08-22,"co",2131,24
2020-08-22,"ct",622,7
2020-08-22,"de",432,5
2020-08-22,"fl",27960,929
2020-08-22,"ga",17054,423
2020-08-22,"hi",1531,7
2020-08-22,"ia",3931,58
2020-08-22,"id",2184,37
2020-08-22,"il",13850,146
2020-08-22,"in",5641,96
2020-08-22,"ks",3486,20
2020-08-22,"ky",4136,62
2020-08-22,"la",4983,257
2020-08-22,"ma",2069,0
2020-08-22,"md",3830,49
2020-08-22,"me",174,3
2020-08-22,"mi",4069,69
2020-08-22,"mn",4454,102
2020-08-22,"mo",8136,74
2020-08-22,"ms",5513,157
2020-08-22,"mt",717,8
2020-08-22,"nc",10869,178
2020-08-22,"nd",1277,14
2020-08-22,"ne",1539,15
2020-08-22,"nh",114,6
2020-08-22,"nj",2178,33
2020-08-22,"nm",1000,32
2020-08-22,"nv",4461,128
2020-08-22,"ny",4241,31
2020-08-22,"oh",6491,161
2020-08-22,"ok",4801,68
2020-08-22,"or",1692,31
2020-08-22,"pa",4701,106
2020-08-22,"ri",687,20
2020-08-22,"sc",5413,233
2020-08-22,"sd",1012,8
2020-08-22,"tn",10699,218
2020-08-22,"tx",41934,1286
2020-08-22,"ut",2493,22
2020-08-22,"va",6322,62
2020-08-22,"vt",44,0
2020-08-22,"wa",3890,54
2020-08-22,"wi",4953,37
2020-08-22,"wv",723,17
2020-08-22,"wy",316,7
2020-08-29,"ak",533,6
2020-08-29,"al",9346,141
2020-08-29,"ar",4179,98
2020-08-29,"az",3392,251
2020-08-29,"ca",36280,808
2020-08-29,"co",2002,36
2020-08-29,"ct",976,5
2020-08-29,"de",521,2
2020-08-29,"fl",21406,831
2020-08-29,"ga",15536,484
2020-08-29,"hi",1783,15
2020-08-29,"ia",7616,67
2020-08-29,"id",2009,52
2020-08-29,"il",13365,134
2020-08-29,"in",7117,77
2020-08-29,"ks",4199,25
2020-08-29,"ky",4511,49
2020-08-29,"la",5224,217
2020-08-29,"ma",2284,31
2020-08-29,"md",3771,61
2020-08-29,"me",174,2
2020-08-29,"mi",4809,56
2020-08-29,"mn",5390,56
2020-08-29,"mo",8482,79
2020-08-29,"ms",4761,190
2020-08-29,"mt",875,14
2020-08-29,"nc",11488,162
2020-08-29,"nd",1822,6
2020-08-29,"ne",1973,16
2020-08-29,"nh",152,3
2020-08-29,"nj",2272,0
2020-08-29,"nm",876,26
2020-08-29,"nv",3392,105
2020-08-29,"ny",4213,52
2020-08-29,"oh",7155,167
2020-08-29,"ok",4754,72
2020-08-29,"or",1583,37
2020-08-29,"pa",4448,99
2020-08-29,"ri",661,10
2020-08-29,"sc",5954,205
2020-08-29,"sd",1797,7
2020-08-29,"tn",9433,162
2020-08-29,"tx",36313,1043
2020-08-29,"ut",2592,22
2020-08-29,"va",6737,125
2020-08-29,"vt",52,0
2020-08-29,"wa",3414,54
2020-08-29,"wi",4791,47
2020-08-29,"wv",785,38
2020-08-29,"wy",252,0
2020-09-05,"ak",496,5
2020-09-05,"al",6759,123
2020-09-05,"ar",4312,110
2020-09-05,"az",4230,200
2020-09-05,"ca",32449,812
2020-09-05,"co",2238,24
2020-09-05,"ct",870,3
2020-09-05,"de",543,8
2020-09-05,"fl",24864,706
2020-09-05,"ga",13790,401
2020-09-05,"hi",1554,22
2020-09-05,"ia",6078,64
2020-09-05,"id",1806,26
2020-09-05,"il",17036,168
2020-09-05,"in",6527,70
2020-09-05,"ks",4054,30
2020-09-05,"ky",4887,72
2020-09-05,"la",5415,131
2020-09-05,"ma",1785,25
2020-09-05,"md",4313,50
2020-09-05,"me",141,2
2020-09-05,"mi",5826,94
2020-09-05,"mn",5623,40
2020-09-05,"mo",10260,141
2020-09-05,"ms",4449,142
2020-09-05,"mt",913,12
2020-09-05,"nc",10318,206
2020-09-05,"nd",1919,14
2020-09-05,"ne",2052,12
2020-09-05,"nh",178,0
2020-09-05,"nj",2749,52
2020-09-05,"nm",870,31
2020-09-05,"nv",2641,86
2020-09-05,"ny",5256,96
2020-09-05,"oh",8465,152
2020-09-05,"ok",5834,53
2020-09-05,"or",1563,26
2020-09-05,"pa",5913,91
2020-09-05,"ri",560,12
2020-09-05,"sc",7040,179
2020-09-05,"sd",1927,6
2020-09-05,"tn",10872,137
2020-09-05,"tx",25381,898
2020-09-05,"ut",2866,13
2020-09-05,"va",6918,109
2020-09-05,"vt",42,0
2020-09-05,"wa",3094,43
2020-09-05,"wi",5500,40
2020-09-05,"wv",1323,31
2020-09-05,"wy",195,5
2020-09-12,"ak",546,2
2020-09-12,"al",6252,75
2020-09-12,"ar",5020,87
